,text,location,polarity_score,polarity,sentiment,label,word count,tokens,no_stoppers
11,The United States has surpassed 2 MILLION #coronavirus cases.It took the U.S. nearly 3 months to officially hit 1 MILL…,,0.1,positive,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",1,20,"['united', 'states', 'surpassed', '2', 'million', 'coronavirus', 'casesit', 'took', 'us', 'nearly', '3', 'months', 'officially', 'hit', '1', 'mill…']","['united', 'states', 'surpassed', '2', 'million', 'coronavirus', 'casesit', 'took', 'us', 'nearly', '3', 'months', 'officially', 'hit', '1', 'mill…']"
12,Researchers have determined that vaccines based on the receptor-binding domain of #SARSCoV2 – the virus that causes #C…,"Nalbari, Assam",0.0,neutral,"{'neg': 0.0, 'neu': 0.87, 'pos': 0.13, 'compound': 0.34}",-1,18,"['researchers', 'determined', 'vaccines', 'based', 'receptorbinding', 'domain', 'sarscov2', '–', 'virus', 'causes', 'c…']","['researchers', 'determined', 'vaccines', 'based', 'receptorbinding', 'domain', 'sarscov2', '–', 'causes', 'c…']"
13,#COVID19 | Moderna to start final testing stage of #coronavirus vaccine in July …,"Chennai, Tamil Nadu",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,14,"['covid19', 'moderna', 'start', 'final', 'testing', 'stage', 'coronavirus', 'vaccine', 'july', '…']","['covid19', 'moderna', 'start', 'final', 'testing', 'stage', 'coronavirus', 'vaccine', 'july']"
14,Lockdown start date: 23 March 🔒 Travel quarantine measures start date: 8 June ✈️ If the Government knew the UK was…,"Sheffield, England",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,21,"['lockdown', 'start', 'date', '23', 'march', '🔒', 'travel', 'quarantine', 'measures', 'start', 'date', '8', 'june', '✈️', 'government', 'knew', 'uk', 'was…']","['lockdown', 'start', 'date', '23', 'march', '🔒', 'travel', 'quarantine', 'measures', 'start', 'date', '8', 'june', '✈️', 'government', 'knew', 'uk', 'was…']"
15,"Coronavirus Update:☣️️ Total cases: 7,475,209 (+13,936) ☣️️⚠️ Current cases: 3,265,616 (+3,433) ⚠️⚰️ Deaths: 419,320 (+248)…",Mirkovo,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,15,"['coronavirus', 'update☣️️', 'total', 'cases', '7475209', '13936', '☣️️⚠️', 'current', 'cases', '3265616', '3433', '⚠️⚰️', 'deaths', '419320', '248…']","['coronavirus', 'update☣️️', 'total', 'cases', '7475209', '13936', '☣️️⚠️', 'current', 'cases', '3265616', '3433', '⚠️⚰️', 'deaths', '419320', '248…']"
16,#Covid19Update: #Uttarakhand Health Bulletin on Novel #Coronavirus as on 11.06.2020 #IndiaFightsCorona#StaySafe…,"Dehradun, India",0.0,neutral,"{'neg': 0.0, 'neu': 0.813, 'pos': 0.187, 'compound': 0.3182}",-1,11,"['covid19update', 'uttarakhand', 'health', 'bulletin', 'novel', 'coronavirus', '11062020', 'indiafightscoronastaysafe…']","['covid19update', 'uttarakhand', 'health', 'bulletin', 'novel', 'coronavirus', '11062020', 'indiafightscoronastaysafe…']"
17,Seems like only medicine and alcohol shops are implementing social distancing since last 2-3 days. It's free for al…,NowHere,0.10833333333333334,positive,"{'neg': 0.0, 'neu': 0.746, 'pos': 0.254, 'compound': 0.7003}",1,19,"['seems', 'like', 'medicine', 'alcohol', 'shops', 'implementing', 'social', 'distancing', 'since', 'last', '23', 'days', 'free', 'al…']","['seems', 'like', 'medicine', 'alcohol', 'shops', 'implementing', 'social', 'distancing', 'since', 'last', '23', 'days', 'free', 'al…']"
18,#bhayander west bhaji market at morning 6am #coronavirus,"मुंबई, भारत",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,8,"['bhayander', 'west', 'bhaji', 'market', 'morning', '6am', 'coronavirus']","['bhayander', 'west', 'bhaji', 'market', 'morning', '6am', 'coronavirus']"
19,words express but poetry liberates - *** acclaimed and well received *** #poem collection#menta…,,0.0,neutral,"{'neg': 0.0, 'neu': 0.819, 'pos': 0.181, 'compound': 0.3919}",-1,14,"['words', 'express', 'poetry', 'liberates', 'acclaimed', 'well', 'received', 'poem', 'collectionmenta…']","['words', 'express', 'poetry', 'liberates', 'acclaimed', 'well', 'received', 'poem', 'collectionmenta…']"
20,"The #coronavirus pandemic is spiking across 21 #states, with #hospitals from coast to coast being overwhelmed once again as c…",시드니,0.0,neutral,"{'neg': 0.0, 'neu': 0.941, 'pos': 0.059, 'compound': 0.0516}",-1,20,"['coronavirus', 'pandemic', 'spiking', 'across', '21', 'states', 'hospitals', 'coast', 'coast', 'overwhelmed', 'c…']","['coronavirus', 'pandemic', 'spiking', 'across', '21', 'states', 'hospitals', 'coast', 'coast', 'overwhelmed', 'c…']"
21,Can I sue you if my 98 year old Mother whose in a nursing home contract #coronavirus #COVID19? #ExecutiveOrder.…,,0.1,positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,19,"['sue', '98', 'year', 'old', 'mother', 'whose', 'nursing', 'home', 'contract', 'coronavirus', 'covid19', 'executiveorder…']","['sue', '98', 'year', 'old', 'mother', 'whose', 'nursing', 'home', 'contract', 'coronavirus', 'covid19', 'executiveorder…']"
22,Lockdown start date: 23 March 🔒 Travel quarantine measures start date: 8 June ✈️ If the Government knew the UK was…,"Colchester, England",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,21,"['lockdown', 'start', 'date', '23', 'march', '🔒', 'travel', 'quarantine', 'measures', 'start', 'date', '8', 'june', '✈️', 'government', 'knew', 'uk', 'was…']","['lockdown', 'start', 'date', '23', 'march', '🔒', 'travel', 'quarantine', 'measures', 'start', 'date', '8', 'june', '✈️', 'government', 'knew', 'uk', 'was…']"
23,"As the cases of #coronavirus is rising so is the risk, tension, anxiety, and depression among people. should c…","اوکاڑہ, پاکستان",0.0,neutral,"{'neg': 0.402, 'neu': 0.598, 'pos': 0.0, 'compound': -0.8428}",-1,19,"['cases', 'coronavirus', 'rising', 'risk', 'tension', 'anxiety', 'depression', 'among', 'people', 'c…']","['cases', 'coronavirus', 'rising', 'risk', 'tension', 'anxiety', 'depression', 'among', 'people', 'c…']"
24,"Outbreaks of the #coronavirus are emerging at U.S. fruit and vegetable farms and packing plants, and could lead to…",Canada,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,19,"['outbreaks', 'coronavirus', 'emerging', 'us', 'fruit', 'vegetable', 'farms', 'packing', 'plants', 'could', 'lead', 'to…']","['outbreaks', 'coronavirus', 'emerging', 'us', 'fruit', 'vegetable', 'farms', 'packing', 'plants', 'could', 'lead', 'to…']"
25,So Trump is coming to Dallas today.😳 Texas is soaring in #coronavirus cases by the day since opening up stores and r…,"Plano, TX",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,22,"['trump', 'coming', 'dallas', 'today😳', 'texas', 'soaring', 'coronavirus', 'cases', 'day', 'since', 'opening', 'stores', 'r…']","['trump', 'coming', 'dallas', 'today😳', 'texas', 'soaring', 'coronavirus', 'cases', 'day', 'since', 'opening', 'stores', 'r…']"
26,"Forget the #coronavirus. Somebody, PLEASE develop a vaccine for white guilt!#WeveGotACountryToSave",,0.0,neutral,"{'neg': 0.144, 'neu': 0.605, 'pos': 0.251, 'compound': 0.3453}",-1,11,"['forget', 'coronavirus', 'somebody', 'please', 'develop', 'vaccine', 'white', 'guiltwevegotacountrytosave']","['forget', 'coronavirus', 'somebody', 'please', 'develop', 'vaccine', 'white', 'guiltwevegotacountrytosave']"
27,This is still the first wave. We are still in the first wave. Others can debate whether we should accept 1000 deaths…,"Boston, MA",0.25,positive,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",1,22,"['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']","['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']"
28,#Egypt slightly shortens #coronavirus #curfew to end at 4 am starting Sunday,,-0.08333333333333333,negative,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",0,12,"['egypt', 'slightly', 'shortens', 'coronavirus', 'curfew', 'end', '4', 'starting', 'sunday']","['egypt', 'slightly', 'shortens', 'coronavirus', 'curfew', 'end', '4', 'starting', 'sunday']"
29,May is the greenest month 🌱Why? Britain’s electricity system ran without coal power for all 31 days of May this year 🙌 W…,,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,23,"['may', 'greenest', 'month', '🌱why', 'britain’s', 'electricity', 'system', 'ran', 'without', 'coal', 'power', '31', 'days', 'may', 'year', '🙌', 'w…']","['may', 'greenest', 'month', '🌱why', 'britain’s', 'electricity', 'system', 'ran', 'without', 'coal', 'power', '31', 'days', 'may', 'year', '🙌', 'w…']"
30,"#ShahbazSharif tests POSITIVE for #coronavirus Now, all of the PMLN workers who were brought to ""escort"" him &amp; the Po…",,0.22727272727272727,positive,"{'neg': 0.0, 'neu': 0.814, 'pos': 0.186, 'compound': 0.6523}",1,20,"['shahbazsharif', 'tests', 'positive', 'coronavirus', 'pmln', 'workers', 'brought', 'escort', 'amp', 'po…']","['shahbazsharif', 'tests', 'positive', 'coronavirus', 'pmln', 'workers', 'brought', 'escort', 'amp', 'po…']"
31,This is still the first wave. We are still in the first wave. Others can debate whether we should accept 1000 deaths…,"Fuquay-Varina, NC",0.25,positive,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",1,22,"['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']","['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']"
32,#coronavirus nonsense #wakeUp #vote replace #controlThePeople attitude getting expo…,bay area,0.0,neutral,"{'neg': 0.252, 'neu': 0.748, 'pos': 0.0, 'compound': -0.4019}",-1,9,"['coronavirus', 'nonsense', 'wakeup', 'vote', 'replace', 'controlthepeople', 'attitude', 'getting', 'expo…']","['coronavirus', 'nonsense', 'wakeup', 'vote', 'replace', 'controlthepeople', 'attitude', 'getting', 'expo…']"
33,"Today's session organised by #STPIPulse #STPIMedTechCoE on ""AI for Wellbeing"" was good and very informative. …",,0.44999999999999996,positive,"{'neg': 0.0, 'neu': 0.828, 'pos': 0.172, 'compound': 0.4404}",1,16,"['todays', 'session', 'organised', 'stpipulse', 'stpimedtechcoe', 'ai', 'wellbeing', 'good', 'informative', '…']","['todays', 'session', 'organised', 'stpipulse', 'stpimedtechcoe', 'ai', 'wellbeing', 'good', 'informative']"
34,In parallell of the discussion of #corona as biological agent there's an agreement that high standards of occupatio…,"Brussels, Belgium",0.16,positive,"{'neg': 0.0, 'neu': 0.842, 'pos': 0.158, 'compound': 0.4939}",1,18,"['parallell', 'discussion', 'corona', 'biological', 'agent', 'theres', 'agreement', 'high', 'standards', 'occupatio…']","['parallell', 'discussion', 'biological', 'agent', 'theres', 'agreement', 'high', 'standards', 'occupatio…']"
35,This is still the first wave. We are still in the first wave. Others can debate whether we should accept 1000 deaths…,,0.25,positive,"{'neg': 0.0, 'neu': 0.89, 'pos': 0.11, 'compound': 0.3818}",1,22,"['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']","['still', 'first', 'wave', 'still', 'first', 'wave', 'others', 'debate', 'whether', 'accept', '1000', 'deaths…']"
36,The United States has surpassed 2 MILLION #coronavirus cases.It took the U.S. nearly 3 months to officially hit 1 MILL…,,0.1,positive,"{'neg': 0.0, 'neu': 0.851, 'pos': 0.149, 'compound': 0.4215}",1,20,"['united', 'states', 'surpassed', '2', 'million', 'coronavirus', 'casesit', 'took', 'us', 'nearly', '3', 'months', 'officially', 'hit', '1', 'mill…']","['united', 'states', 'surpassed', '2', 'million', 'coronavirus', 'casesit', 'took', 'us', 'nearly', '3', 'months', 'officially', 'hit', '1', 'mill…']"
37,We're standing on the brink of the worst food crisis in 50 years: #coronavirus #GlobalCeasefire …,"Porto Alegre, Brazil",-1.0,negative,"{'neg': 0.387, 'neu': 0.613, 'pos': 0.0, 'compound': -0.8481}",0,16,"['standing', 'brink', 'worst', 'food', 'crisis', '50', 'years', 'coronavirus', 'globalceasefire', '…']","['standing', 'brink', 'worst', 'food', 'crisis', '50', 'years', 'coronavirus', 'globalceasefire']"
38,TOP SELLERS#irish Face mask.#coronavirus #Ireland #backtoworksafely #COVID19,Ireland,0.5,positive,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.368}",1,7,"['top', 'sellersirish', 'face', 'maskcoronavirus', 'ireland', 'backtoworksafely', 'covid19']","['top', 'sellersirish', 'face', 'maskcoronavirus', 'ireland', 'backtoworksafely', 'covid19']"
39,Blue Lake #Naltar #Nomal #GilgitBaltistan #Pakistan Website: Facebook: …,,0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,9,"['blue', 'lake', 'naltar', 'nomal', 'gilgitbaltistan', 'pakistan', 'website', 'facebook', '…']","['blue', 'lake', 'naltar', 'nomal', 'gilgitbaltistan', 'pakistan', 'website', 'facebook']"
40,CEO Neil Ogilvie writes for the on the Painting &amp; Decorating Association's engagement programme and how #coronavirus ha…,On all good trade counters,0.0,neutral,"{'neg': 0.0, 'neu': 0.85, 'pos': 0.15, 'compound': 0.4588}",-1,18,"['ceo', 'neil', 'ogilvie', 'writes', 'painting', 'amp', 'decorating', 'associations', 'engagement', 'programme', 'coronavirus', 'ha…']","['ceo', 'neil', 'ogilvie', 'writes', 'painting', 'amp', 'decorating', 'associations', 'engagement', 'programme', 'coronavirus', 'ha…']"
41,DIY face-mask brace from ex-Apple engineer gives masks a tighter fit - Business Insider #COVID19 #coronavirus,Look behind your ankle,0.4,positive,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",1,16,"['diy', 'facemask', 'brace', 'exapple', 'engineer', 'gives', 'masks', 'tighter', 'fit', 'business', 'insider', 'covid19', 'coronavirus']","['diy', 'facemask', 'brace', 'exapple', 'engineer', 'gives', 'masks', 'tighter', 'fit', 'business', 'insider', 'covid19', 'coronavirus']"
42,Hand washing is the single most important way to stop the spread of #COVID19 infection in your home and in our hospitals.#Its…,Tipperary Town,0.2761904761904762,positive,"{'neg': 0.083, 'neu': 0.717, 'pos': 0.2, 'compound': 0.4754}",1,22,"['hand', 'washing', 'single', 'important', 'way', 'stop', 'spread', 'covid19', 'infection', 'home', 'hospitalsits…']","['hand', 'washing', 'single', 'important', 'way', 'stop', 'spread', 'covid19', 'infection', 'home', 'hospitalsits…']"
43,#coronavirus update in #CentralAfricanRepublic. New cases confirmed 64. Total cases in Central African Republic con…,,0.10727272727272727,positive,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",1,15,"['coronavirus', 'update', 'centralafricanrepublic', 'new', 'cases', 'confirmed', '64', 'total', 'cases', 'central', 'african', 'republic', 'con…']","['coronavirus', 'update', 'centralafricanrepublic', 'new', 'cases', 'confirmed', '64', 'total', 'cases', 'central', 'african', 'republic', 'con…']"
44,My goodness keeping up the fear mongering right till the end. This #coronavirus is not #Spanishflu #hongk…,Northern Ireland,0.2857142857142857,positive,"{'neg': 0.227, 'neu': 0.636, 'pos': 0.136, 'compound': -0.25}",1,17,"['goodness', 'keeping', 'fear', 'mongering', 'right', 'till', 'end', 'coronavirus', 'spanishflu', 'hongk…']","['goodness', 'keeping', 'fear', 'mongering', 'right', 'till', 'end', 'coronavirus', 'spanishflu', 'hongk…']"
45,What the coronavirus pandemic looks like when you don’t have the internet READ MORE: …,Worldwide,0.5,positive,"{'neg': 0.0, 'neu': 0.839, 'pos': 0.161, 'compound': 0.3612}",1,15,"['coronavirus', 'pandemic', 'looks', 'like', 'don’t', 'internet', 'read', '…']","['coronavirus', 'pandemic', 'looks', 'like', 'don’t', 'internet', 'read']"
46,"""Stop giving power to people who don't believe in science.' ~Harrison Ford There is no time to wait, there is no planet B…","Barcelona, República de Catalunya",0.0,neutral,"{'neg': 0.236, 'neu': 0.679, 'pos': 0.086, 'compound': -0.4939}",-1,23,"['stop', 'giving', 'power', 'people', 'dont', 'believe', 'science', 'harrison', 'ford', 'time', 'wait', 'planet', 'b…']","['stop', 'giving', 'power', 'people', 'dont', 'believe', 'science', 'harrison', 'ford', 'time', 'wait', 'planet', 'b…']"
47,It’s fuckin’ Manly not the Coronavirus that’s gonna kill me. #NRLManlyBroncos #coronavirus,"Sydney, New South Wales",0.0,neutral,"{'neg': 0.299, 'neu': 0.701, 'pos': 0.0, 'compound': -0.6908}",-1,12,"['it’s', 'fuckin’', 'manly', 'coronavirus', 'that’s', 'gonna', 'kill', 'nrlmanlybroncos', 'coronavirus']","['it’s', 'fuckin’', 'manly', 'coronavirus', 'that’s', 'gonna', 'kill', 'nrlmanlybroncos', 'coronavirus']"
48,"Sanjay Sharma, a #BJP leader of the #Delhi unit of the party, died due to #Covid19 on Thursday.#coronavirus #COVID_19 htt…",,-0.125,negative,"{'neg': 0.155, 'neu': 0.73, 'pos': 0.116, 'compound': -0.2263}",0,20,"['sanjay', 'sharma', 'bjp', 'leader', 'delhi', 'unit', 'party', 'died', 'due', 'covid19', 'thursdaycoronavirus', 'covid19', 'htt…']","['sanjay', 'sharma', 'bjp', 'leader', 'delhi', 'unit', 'party', 'died', 'due', 'covid19', 'thursdaycoronavirus', 'covid19', 'htt…']"
49,Impact of #coronavirus on cancer care continues as new figures show no of people assessed by a cancer doctor after referral dro…,York,0.13636363636363635,positive,"{'neg': 0.353, 'neu': 0.545, 'pos': 0.103, 'compound': -0.8316}",1,22,"['impact', 'coronavirus', 'cancer', 'care', 'continues', 'new', 'figures', 'show', 'people', 'assessed', 'cancer', 'doctor', 'referral', 'dro…']","['impact', 'coronavirus', 'cancer', 'care', 'continues', 'new', 'figures', 'show', 'people', 'assessed', 'cancer', 'doctor', 'referral', 'dro…']"
50,"The #BPO mayhem: #Hiring Freeze, #Salary cuts and #job layoffs, the industry stands disoriented due to #Coronavirus…","Gurgaon, India",-0.125,negative,"{'neg': 0.236, 'neu': 0.704, 'pos': 0.06, 'compound': -0.5423}",0,17,"['bpo', 'mayhem', 'hiring', 'freeze', 'salary', 'cuts', 'job', 'layoffs', 'industry', 'stands', 'disoriented', 'due', 'coronavirus…']","['bpo', 'mayhem', 'hiring', 'freeze', 'salary', 'cuts', 'job', 'layoffs', 'industry', 'stands', 'disoriented', 'due', 'coronavirus…']"
51,"As #NationalCarersWeek gets underway, Social Security and Older People Secretary expresses gratitude to…","Dunfermline, Scotland.",0.09999999999999999,positive,"{'neg': 0.0, 'neu': 0.659, 'pos': 0.341, 'compound': 0.6908}",1,13,"['nationalcarersweek', 'gets', 'underway', 'social', 'security', 'older', 'people', 'secretary', 'expresses', 'gratitude', 'to…']","['nationalcarersweek', 'gets', 'underway', 'social', 'security', 'older', 'people', 'secretary', 'expresses', 'gratitude', 'to…']"
52,The EU Blue Economy strategy presents a huge potential for our recovery from the #coronavirus pandemic.We continue to…,European Commission,0.13333333333333336,positive,"{'neg': 0.0, 'neu': 0.874, 'pos': 0.126, 'compound': 0.3182}",1,18,"['eu', 'blue', 'economy', 'strategy', 'presents', 'huge', 'potential', 'recovery', 'coronavirus', 'pandemicwe', 'continue', 'to…']","['eu', 'blue', 'economy', 'strategy', 'presents', 'huge', 'potential', 'recovery', 'coronavirus', 'pandemicwe', 'continue', 'to…']"
53,HUGE RESPECT♥️Stay safe &amp; stay healthy..!!#informationtechnology #webdevelopment #webdesign #webdeveloper #website #digi…,"Sacramento, CA",0.45000000000000007,positive,"{'neg': 0.0, 'neu': 0.58, 'pos': 0.42, 'compound': 0.7592}",1,11,"['huge', 'respect♥️stay', 'safe', 'amp', 'stay', 'healthyinformationtechnology', 'webdevelopment', 'webdesign', 'webdeveloper', 'website', 'digi…']","['huge', 'respect♥️stay', 'safe', 'amp', 'stay', 'healthyinformationtechnology', 'webdevelopment', 'webdesign', 'webdeveloper', 'website', 'digi…']"
54,Exterior Things Not to Miss During a Home Video Tour #realestate #homebuyer #buyeragent #buyerbroker…,"Boston, MA",0.0,neutral,"{'neg': 0.0, 'neu': 0.893, 'pos': 0.107, 'compound': 0.1139}",-1,14,"['exterior', 'things', 'miss', 'home', 'video', 'tour', 'realestate', 'homebuyer', 'buyeragent', 'buyerbroker…']","['exterior', 'things', 'miss', 'home', 'video', 'tour', 'realestate', 'homebuyer', 'buyeragent', 'buyerbroker…']"
55,🔴#Mexico #Coronavirus Map and Case Count! #TheNewYorkTimes #COVID19 #Mexique,"Paris,France. Tweets FR/EN/ES",0.0,neutral,"{'neg': 0.0, 'neu': 1.0, 'pos': 0.0, 'compound': 0.0}",-1,9,"['🔴mexico', 'coronavirus', 'map', 'case', 'count', 'thenewyorktimes', 'covid19', 'mexique']","['🔴mexico', 'coronavirus', 'map', 'case', 'count', 'thenewyorktimes', 'covid19', 'mexique']"
56,Innovative algorithm helps select patients in need of urgent surgery or chemotherapy during #COVID__19…,"Ottawa, Canada",0.5,positive,"{'neg': 0.0, 'neu': 0.601, 'pos': 0.399, 'compound': 0.743}",1,14,"['innovative', 'algorithm', 'helps', 'select', 'patients', 'need', 'urgent', 'surgery', 'chemotherapy', 'covid19…']","['innovative', 'algorithm', 'helps', 'select', 'patients', 'need', 'urgent', 'surgery', 'chemotherapy', 'covid19…']"
57,"#bbcnews The number of people being assessed by a cancer doctor after referral fell to 79,500 in April - a drop of…",,0.0,neutral,"{'neg': 0.273, 'neu': 0.672, 'pos': 0.055, 'compound': -0.7351}",-1,22,"['bbcnews', 'number', 'people', 'assessed', 'cancer', 'doctor', 'referral', 'fell', '79500', 'april', 'drop', 'of…']","['bbcnews', 'number', 'people', 'assessed', 'cancer', 'doctor', 'referral', 'fell', '79500', 'april', 'drop', 'of…']"
58,"#FreeMovement is a fundamental principle of the EU, crucial for many workers and businesses 🇪🇺We strongly encourage EU cou…","Brussels, Belgium",0.3111111111111111,positive,"{'neg': 0.0, 'neu': 0.748, 'pos': 0.252, 'compound': 0.6597}",1,19,"['freemovement', 'fundamental', 'principle', 'eu', 'crucial', 'many', 'workers', 'businesses', '🇪🇺we', 'strongly', 'encourage', 'eu', 'cou…']","['freemovement', 'fundamental', 'principle', 'eu', 'crucial', 'many', 'workers', 'businesses', '🇪🇺we', 'strongly', 'encourage', 'eu', 'cou…']"
